price,area,road_width,width,floors,parking_slots,bedrooms,type_Nhà trong ngõ,district_Quận Bắc Từ Liêm,district_Quận Cầu Giấy,district_Quận Hai Bà Trưng,district_Quận Hoàn Kiếm,district_Quận Hoàng Mai,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Nam Từ Liêm,district_Quận Thanh Xuân,district_Quận Tây Hồ,district_Quận Đống Đa
17.6,88.0,8.0,4.5,5.0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
20.6,55.0,9.0,5.5,5.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0
13.0,75.0,5.0,9.0,6.0,2,6,0,0,0,0,0,0,0,0,1,0,0,0
9.5,60.0,4.0,6.0,5.0,0,11,1,0,0,0,0,0,1,0,0,0,0,0
20.0,110.0,5.0,8.2,7.0,2,11,1,0,0,0,0,0,1,0,0,0,0,0
4.65,35.0,4.0,4.0,5.0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
4.1,32.0,3.0,3.5,5.0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
13.5,58.0,8.0,4.0,7.0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
9.4,51.0,5.0,5.0,6.0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
5.5,52.0,3.0,4.0,4.0,0,4,1,0,0,0,0,0,0,0,0,1,0,0
5.8,35.0,8.0,4.0,5.0,2,3,1,0,0,0,0,0,1,0,0,0,0,0
43.0,200.0,12.0,8.0,4.0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
82.0,360.0,15.0,12.0,4.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
5.5,40.0,2.5,7.7,3.0,0,4,1,0,1,0,0,0,0,0,0,0,0,0
22.0,100.0,10.0,6.4,2.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
48.0,195.0,10.0,7.0,2.0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
20.0,94.0,8.0,6.0,2.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
15.0,60.0,10.0,5.0,2.0,4,2,0,0,0,0,0,0,0,0,0,0,0,1
47.0,219.0,8.0,8.0,8.0,4,11,0,0,0,0,0,0,0,0,0,0,0,0
13.5,77.0,8.0,6.75,5.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
13.0,40.0,10.0,8.5,6.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1
15.0,90.0,10.0,6.0,2.0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
5.9,44.0,3.5,4.1,4.0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
5.65,39.0,3.0,4.3,5.0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
16.5,57.0,10.0,3.8,5.0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
6.4,35.0,3.0,3.0,5.0,0,5,1,0,0,0,0,0,0,0,0,0,1,0
15.0,90.0,10.0,6.0,2.0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
83.0,419.0,20.0,16.0,2.0,4,5,0,0,0,1,0,0,0,0,0,0,0,0
31.5,139.0,15.0,8.5,2.0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
25.0,57.0,10.0,10.0,1.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0
21.0,57.0,12.0,9.0,4.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
38.0,135.0,20.0,7.8,5.0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
38.0,135.0,20.0,7.8,5.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
27.9,50.0,20.0,5.5,6.0,3,6,0,0,0,0,0,0,0,0,0,0,1,0
30.0,130.0,10.0,10.0,4.0,4,8,0,0,0,1,0,0,0,0,0,0,0,0
20.0,64.0,7.0,4.4,5.0,2,7,0,0,0,1,0,0,0,0,0,0,0,0
7.7,50.0,13.0,4.0,6.0,2,3,0,0,0,0,0,0,1,0,0,0,0,0
13.0,120.0,10.0,4.0,3.0,1,4,0,1,0,0,0,0,0,0,0,0,0,0
6.0,35.0,4.0,4.5,6.0,0,4,1,0,0,0,0,0,0,0,0,0,0,1
17.0,62.0,8.0,6.0,7.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1
9.0,55.0,5.0,4.5,6.0,1,6,1,0,0,0,0,0,0,1,0,0,0,0
5.6,90.0,8.0,4.5,4.0,1,4,0,0,0,0,0,0,0,1,0,0,0,0
22.0,88.0,12.0,6.3,3.0,4,3,0,0,0,0,0,0,0,0,0,0,1,0
26.0,65.0,40.0,4.0,4.0,4,4,0,0,0,0,0,0,0,1,0,0,0,0
12.7,60.0,2.5,4.7,7.0,0,7,1,0,0,0,0,0,0,0,0,0,1,0
9.0,80.0,3.0,6.0,5.0,1,3,1,0,0,0,0,0,0,0,0,0,1,0
4.79,40.0,3.0,4.3,4.0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
28.0,80.0,12.0,6.0,7.0,0,8,1,0,1,0,0,0,0,0,0,0,0,0
43.0,200.0,12.0,8.0,4.0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
82.0,360.0,15.0,12.0,4.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
50.0,100.0,30.0,6.0,6.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
23.0,85.0,10.0,5.5,5.0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
40.0,165.0,12.0,9.0,6.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
42.0,150.0,7.5,7.0,4.0,0,6,1,0,1,0,0,0,0,0,0,0,0,0
64.0,150.0,40.0,8.0,4.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
51.0,180.0,15.0,10.0,6.0,4,8,1,0,1,0,0,0,0,0,0,0,0,0
10.0,40.0,7.0,4.0,5.0,0,4,1,0,0,0,0,0,0,0,0,0,0,1
4.75,34.0,2.0,5.3,5.0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
21.5,61.0,9.0,4.0,5.0,4,4,0,0,0,0,0,0,0,0,0,0,0,1
17.5,37.0,40.0,4.0,5.0,4,5,0,0,0,0,0,0,0,0,0,0,1,0
64.5,310.0,10.0,12.0,3.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
50.0,105.0,50.0,5.5,5.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
64.0,340.0,20.0,14.0,3.0,0,6,1,0,0,0,0,0,0,0,0,0,1,0
69.0,200.0,30.0,12.0,5.0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
11.8,48.0,8.0,7.2,5.0,2,5,0,0,0,0,0,0,0,0,0,0,0,1
6.8,38.0,4.0,6.0,5.0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
11.0,50.0,6.0,4.7,6.0,2,5,1,0,0,0,0,0,0,0,0,0,0,1
